001325-0001	Highly recommended
001325-0002	My 8 year old daughter loves this place.
001325-0003	The best climbing club around.
001325-0004	Hooray for Craggy.
001961-0001	Buyer Beware!!
001961-0002	Rusted out and unsafe cars sold here!
001961-0003	Have a real mechanic check before you buy!!!!
001961-0004	Save money and go somewhere else!
002288-0001	It's well cool. :)
002317-0001	telephone number
002317-0002	the telephone number is incorrect - our new mobile number is 07551310002 or landline 01634 710033.
002317-0003	thank you
003418-0001	Billing Issues...
003418-0002	I had a routine surgery for an ingrown toenail.
003418-0003	My insurance company, Blue Cross/Blue Shield paid the fees and everything was fine.
003418-0004	Then I got a bill for $483.00.
003418-0005	The doctor's office said that payments had been "reversed".
003418-0006	Blue cross has no record of aa reversal.
003418-0007	The office refused my requests to see what they got from BC/BS.
003418-0008	They eventually turned it over to a collection agency and now will not even discuss the matter.
003418-0009	I eventually decided to just pay the balance even though the doctor has already been paid, but now the collection agency is trying to say another reversal of $160.00 has come through.
003418-0010	It was an ingrown toenail.
003418-0011	How much could it possibly cost?
003418-0012	Not only am I being bilked for money I do not owe, the office staff is rude to boot.
003418-0013	I think this office has some serious billing practice issues!
004540-0001	They really go above and beyond!
004540-0002	For example, I actually forgot to feed my cat, and they went out of their way to take care of him.
004540-0003	Additionally, when there was confusion (my fault), they left me flowers along with a personalized gift.
004540-0004	They have been 100% reliable and professional.
004540-0005	Definitely recommend!
004574-0001	Over-rated...
004574-0002	This restaurant is over-rated.
004574-0003	It is hard to find...and the mexican food is bland, almost equivalent to eating out of a can.
004574-0004	The service is poor...
004574-0005	I asked for a fried egg on my enchiladas...and did not get it.!
004574-0006	Secondly, the enchladas did not come with enchilada sauce..but chili...like Hormel's chili..the cheese was American cheese!
004574-0007	The Chili Relleno..had no batter on it.
004940-0001	We have been blessed to find Elite Flyers online and would not use anyone else to handle our postcards, posters, etc.
004940-0002	We were looking for a company with decent rates as our company was just getting started.
004940-0003	They have the best rates and GREAT customer service.
004940-0004	On one order, we needed it rushed and shipped to a different state.
004940-0005	They did that with no problem.
004940-0006	I also appreciate their honesty.
004940-0007	I sent a graphic that would have been distorted if printed as it was.
004940-0008	They called and worked with me to fix it so that it would look perfect.
004940-0009	They recently surprised me a larger order.
004940-0010	I ordered 1000 postcards, we normally order 5000 or more.
004940-0011	Because they had room to do 5000, they created the larger amount, and shipped them early.
004940-0012	I recommend this company to ANYONE and everyone that needs great work done at a reasonable rate!
004940-0013	They have a customer for life in us!
005265-0001	good
005265-0002	it is a cute little nice and quiet library
005636-0001	I LOVE MY GYM!
005636-0002	FITNESS UNLIMITED is a second home to a lot of us gym members who work out daily.
005636-0003	If you are serious about working out in a non-commercial like atmosphere then you have chosen the best place to be.
005636-0004	This is the most humble gym you will every step into.... if you dare to work on your body don't be surprised when you see how addicting going to FITNESS UNLIMITED can be!!
005760-0001	OK Food, Slow service
005760-0002	The food was incredibly bland.
005760-0003	Their Thali was not brought out as described (no saag).
005760-0004	Expensive for the level of food and the quality of service.
006970-0001	Wife and I attempted to adopt a dog and was nothing but frustrating.
006970-0002	We arrived Sunday at about 230 and found a do we really liked.
006970-0003	We were told that we couldn't today because they were closing soon.
006970-0004	I called the next morning to let then know my wife would be driving in.
006970-0005	They gave me the run around and missing paperwork only to call back to tell me someone else wanted her and I would need to come in and put down a deposit.
006970-0006	I work 2 hours away but offered my card over the phone.
006970-0007	They refused.
006970-0008	Terrible communication as well.
006970-0009	At one point they told me the dog had been fixed, the next day it hadn't.
006970-0010	Huge ammount of time wasted time and elevated blood pressure.
007403-0001	My counseling practice
007403-0002	Hello my name is Vera and I'm writing a review about my own counseling practice in Bellevue, WA. and in Renton WA.
007403-0003	I am a licensed mental health counselor and I work with variety of mental health problems.
007403-0004	I offer compassionate, approachable and personalized counseling services.
007403-0005	My style is compassionate, nonjudgmental, and caring.
007403-0006	Please visit my website to learn more about my practice at www.veraakulov.com.
007403-0007	I am a preferred provider with most insurance companies.
007403-0008	Schedule your first appointment online!
007403-0009	I would appreciate reviews from anyone who has worked with me before in the mental health setting.
008585-0001	The best there is in service.
008585-0002	I was recently traveling down I-24 from Nashville with my 3 young children and had a blowout on the southeast side of Murfreesboro.
008585-0003	It was 4:50 when a friend told me to call Bud, he would take care of me.
008585-0004	Not only did they answer the phone at 4:50 on a Thursday, they hit the ground moving!.
008585-0005	They tracked down the only tire that fit my BMW330i in Murfreesboro within minutes and secured it, then they came out, took off my tire (it was a runflat - but runflats don't do you any good if they blow out), and brought it to their shop to change the tire.
008585-0006	They were back quickly considering how far outside of Murfreesboro we were and had us on our way by 6:30 that evening.
008585-0007	Thanks Bud for all of your help and taking time away from your family that evening.
008585-0008	It's without a doubt, the best service experience I've ever had and just to be clear, the price he charged me was the same as my tire guy in Nashville's price for putting on the other rear tire.
008585-0009	I hope I can return the favor in the future!
008585-0010	Alan Grissom
008635-0001	Good food and very friendly staff.
008635-0002	Very good with my 5 year old daughter.
008635-0003	Interesting good value wine list to.
008635-0004	Beer a bit expensive.
009389-0001	gone
009389-0002	library is closed.
009389-0003	it is now bislas.
009596-0001	awful awful awful
009596-0002	This store is by far the worst Verizon store I've been in.
009596-0003	The salespeople are never available, the lines are always too long, and all the people want is a sale.
009596-0004	Incredibly rude and I will not return to it.
009596-0005	Is there no other Verizon to go to around Downtown/Dupont Circle1?!?!?
009775-0001	Want a great burger?
009775-0002	The smokehouse can't be beat anywhere.
009775-0003	Salad bar is hit and miss for freshness - sometimes the broccoli looks browned around the edges.
009775-0004	Never a bad smokehouse burger though!
009775-0005	I crave those.
009943-0001	such a great idea this was, so easy to load and pack, no ramp, no step up no back aches.
009943-0002	moving with a pod was the best moving experience i have had.
