395149	26023
395640	26025
396874	26027
397066	26029
398152	26031
39824	26033
39934	26034
385436	26055
388799	26057
390330	26063
392826	26065
394662	26066
376320	26076
381455	26081
385281	26085
371492	26090
372582	26091
374000	26094
130795	26097
131458	26098
131965	26099
1325	26100
133260	26101
133601	26102
133981	26103
134617	26104
134622	26105
134741	26106
135010	26107
135800	26108
137883	26109
138110	26110
138249	26111
138699	26112
139152	26113
139456	26114
140164	26115
140302	26116
141103	26117
142081	26118
14483	26119
145645	26120
14629	26121
146820	26122
14764	26123
147825	26124
148012	26125
148346	26126
148566	26127
148971	26128
149741	26129
149922	26130
150192	26131
15148	26132
152281	26133
153921	26134
154113	26135
154157	26136
154658	26137
155050	26138
15573	26139
156460	26140
15687	26141
156953	26142
158285	26143
158335	26144
158740	26145
159371	26146
159485	26147
160073	26148
160442	26149
162253	26150
162422	26151
162567	26152
162662	26153
162702	26154
162992	26155
163250	26156
163703	26157
164580	26158
164805	26159
164937	26160
165018	26161
165032	26162
165143	26163
166983	26164
16861	26165
169083	26166
169610	26167
170650	26168
171120	26169
171255	26170
171877	26171
172245	26172
17235	26173
17345	26174
173758	26175
173944	26176
174824	26177
175434	26178
177779	26179
178726	26180
180886	26181
181696	26182
181748	26183
181771	26184
182354	26185
18268	26186
183172	26187
183518	26188
184290	26189
18465	26190
184731	26191
185045	26192
18548	26193
18562	26194
186135	26195
186235	26196
186275	26197
186284	26198
187163	26199
187266	26200
187266	26201
188382	26202
188461	26203
188548	26204
189171	26205
190256	26206
190389	26207
191597	26208
191666	26209
192399	26210
192713	26211
192737	26212
193257	26213
194153	26214
194313	26215
194316	26216
194830	26217
1961	26218
196219	26219
198455	26220
199045	26221
200429	26222
200566	26223
200668	26224
200957	26225
201156	26226
201972	26227
202402	26228
202709	26229
203196	26230
205014	26231
206303	26232
207348	26233
207629	26234
207783	26235
208180	26236
208310	26237
20851	26238
209465	26239
20957	26240
20992	26241
210019	26242
210066	26243
210153	26244
210875	26245
211709	26246
211797	26247
211844	26248
211933	26249
212369	26250
21370	26251
214912	26252
215460	26253
216281	26254
216456	26255
217359	26256
217485	26257
217542	26258
